property_type,surface_covered_in_m2,price_aprox_usd,state,lat,lon
apartment,54.0,289775.66,Distrito Federal,23.634501,-102.552788
house,80.0,79661.96,Distrito Federal,19.31033,-99.068557
apartment,100.0,48822.82,Distrito Federal,19.279771,-99.234597
apartment,135.0,337720.36,Distrito Federal,23.634501,-102.552788
apartment,263.0,875000.0,Quintana Roo,21.1902642,-86.8198375
apartment,87.0,232663.51,Distrito Federal,19.432657,-99.177444
apartment,100.0,166001.78,Distrito Federal,19.367025,-99.170349
house,205.0,109939.09,Distrito Federal,19.340909,-99.22511
house,144.0,84298.37,Distrito Federal,19.509359,-99.093272
house,350.0,342462.14,Quintana Roo,21.119158,-86.84693
house,304.0,231775.37,Distrito Federal,19.432901,-99.213075
apartment,57.0,94022.66,Distrito Federal,23.634501,-102.552788
apartment,160.0,300000.0,Quintana Roo,20.4987828982,-87.2228193283
apartment,83.0,172446.86,Distrito Federal,19.3794059,-99.1591446
apartment,103.0,66384.96,Distrito Federal,19.36269,-99.150565
apartment,49.0,115000.0,Quintana Roo,21.0511211635,-86.7828512192
house,530.0,257634.76,Distrito Federal,19.452952,-99.158166
house,90.0,37229.03,Distrito Federal,19.342911,-99.224472
house,120.0,117490.85,Distrito Federal,19.491083,-99.07564
apartment,56.0,70880.12,Distrito Federal,19.4024128,-99.0953907
apartment,80.0,68228.99,Distrito Federal,19.35782,-99.149406
apartment,60.0,24235.78,Distrito Federal,19.504985,-99.208557
apartment,120.0,258163.77,Distrito Federal,19.376792,-99.153132
apartment,99.0,30558.16,Quintana Roo,21.1541659192,-86.8471578694
house,220.0,89567.02,Distrito Federal,19.433895,-99.091159
apartment,50.0,94140.2,Distrito Federal,19.354219,-99.126244
apartment,16.0,34879.76,Distrito Federal,19.439716,-99.152892
house,90.0,37223.0,Distrito Federal,19.543273,-99.148777
house,150.0,131747.44,Distrito Federal,19.2690778853,-99.2035388947
apartment,734.0,1750000.0,Distrito Federal,19.420166,-99.220367
apartment,90.0,142200.81,Distrito Federal,19.367728,-99.156645
apartment,90.0,76395.4,Distrito Federal,19.400785,-99.147419
apartment,260.0,1125000.0,Distrito Federal,19.430456,-99.1889121
apartment,0.0,222389.68,Distrito Federal,19.376482,-99.2587951
apartment,190.0,258163.77,Distrito Federal,19.375658,-99.186109
house,263.0,305654.07,Distrito Federal,19.307427366,-99.1170322895
apartment,114.0,93311.24,Distrito Federal,19.39177,-99.159996
apartment,65.0,40103.52,Distrito Federal,19.366632,-99.1979
house,99.0,65873.72,Quintana Roo,21.161908,-86.8515279
apartment,80.0,68070.93,Distrito Federal,19.400731,-99.125466
apartment,64.0,350000.0,Solidaridad,20.627081,-87.068985
house,804.0,779759.96,Distrito Federal,19.519724,-99.14607
house,445.0,116437.12,Distrito Federal,19.469479,-99.104805
apartment,61.0,39409.48,Distrito Federal,19.337163,-99.080899
apartment,117.0,68666.76,Quintana Roo,20.65231,-87.092578
house,124.0,197574.31,Distrito Federal,19.279143,-99.130161
house,60.0,49999.47,Distrito Federal,19.361606,-99.201739
apartment,320.0,553339.27,Distrito Federal,19.390415,-99.254997
house,200.0,176499.72,Distrito Federal,19.374413,-99.105499
apartment,190.0,1053979.56,Distrito Federal,19.430456,-99.1889121
apartment,55.0,44794.13,Distrito Federal,19.435666,-99.14973
house,200.0,202842.96,Distrito Federal,19.412011,-99.106233
apartment,180.0,207057.88,Distrito Federal,19.41498,-99.177444
apartment,120.0,246572.74,Distrito Federal,19.393401,-99.165187
house,90.0,143236.95,Distrito Federal,19.276603,-99.137819
apartment,112.0,112046.55,Distrito Federal,19.431629,-99.162762
apartment,60.0,53399.87,Distrito Federal,19.2990233,-99.0436467
apartment,65.0,35847.88,Distrito Federal,19.453854,-99.193979
house,200.0,94858.16,Distrito Federal,19.3383626772,-99.0706713125
apartment,300.0,1478500.0,Quintana Roo,20.6523823712,-87.0461797714
apartment,60.0,29962.59,Distrito Federal,19.458968,-99.152898
house,131.0,70562.42,Distrito Federal,19.345087,-99.10273
apartment,90.0,168596.74,Distrito Federal,19.394073,-99.153915
house,70.0,52264.99,Distrito Federal,19.346749,-99.145944
apartment,65.0,35984.86,Distrito Federal,19.332034,-99.062028
house,264.0,168636.73,Distrito Federal,19.381207,-99.0978814
house,900.0,490100.49,Quintana Roo,21.1199835722,-86.8363599075
house,287.0,204493.78,Distrito Federal,19.3398,-99.215945
apartment,159.0,492618.62,Distrito Federal,19.3753948137,-99.1657587614
apartment,50.0,16967.15,Distrito Federal,19.305214,-99.046887
apartment,147.0,123813.23,Distrito Federal,19.387245,-99.147388
apartment,63.0,105794.45,Distrito Federal,19.366081,-99.139389
house,451.0,4000000.0,Distrito Federal,19.420166,-99.220367
apartment,64.0,37196.65,Distrito Federal,19.370272,-99.149127
apartment,62.0,204950.0,Quintana Roo,20.6546691,-87.0540165
house,180.0,84298.37,Quintana Roo,21.129547,-86.817017
house,208.0,77169.89,Distrito Federal,19.366935,-99.077541
apartment,70.0,79820.02,Distrito Federal,19.386715,-99.143999
house,420.0,379342.68,Distrito Federal,19.367827,-99.289665
apartment,70.0,29969.69,Distrito Federal,19.458968,-99.152898
house,530.0,822051.36,Distrito Federal,19.3641188,-99.2640457
apartment,70.0,68228.99,Distrito Federal,19.445471,-99.17317
apartment,119.0,71975.74,Quintana Roo,20.6543977622,-87.0861594379
apartment,70.0,52440.59,Distrito Federal,19.443903,-99.171681
apartment,0.0,182000.0,Solidaridad,20.620914,-87.075059
apartment,100.0,58990.79,Distrito Federal,19.314831,-99.140445
house,310.0,289775.66,Distrito Federal,19.464928,-99.180214
apartment,86.0,62644.22,Distrito Federal,19.317741,-99.119331
house,200.0,161220.64,Distrito Federal,19.367477,-99.222025
apartment,80.0,107347.81,Distrito Federal,19.305984,-99.127341
apartment,60.0,76940.5,Distrito Federal,19.365843,-99.149901
house,650.0,711267.53,Distrito Federal,19.401079,-99.24807
house,250.0,188038.06,Distrito Federal,19.383751,-99.071318
house,110.0,63223.78,Zacatecas,23.634501,-102.552788
apartment,80.0,79029.72,Distrito Federal,19.365843,-99.149901
house,515.0,468909.7,Quintana Roo,21.1070511,-86.8468159
apartment,90.0,68597.8,Distrito Federal,19.399841,-99.154813
house,180.0,147557.13,Quintana Roo,21.149599,-86.8317228
apartment,80.0,89588.26,Quintana Roo,21.1902642,-86.8198375
apartment,73.0,155425.12,Distrito Federal,19.394073,-99.153915
house,90.0,61906.61,Distrito Federal,19.363498,-99.015615
house,387.0,342543.35,Distrito Federal,19.3012112,-99.1290556
apartment,70.0,55847.67,Distrito Federal,19.465454,-99.162665
apartment,52.0,156444.61,Distrito Federal,19.405298,-99.164986
apartment,90.0,158059.45,Distrito Federal,23.634501,-102.552788
apartment,69.0,61864.46,Distrito Federal,19.334546,-99.207876
house,985.0,249266.16,Distrito Federal,19.286214,-99.222026
house,311.0,208111.61,Distrito Federal,19.271181,-99.137314
apartment,0.0,151773.05,Distrito Federal,19.4233932,-99.1682732
house,1050.0,2160658.1,Distrito Federal,19.390415,-99.254997
apartment,69.0,131905.54,Distrito Federal,19.403312,-99.151204
apartment,70.0,37039.91,Distrito Federal,19.376392,-99.192439
house,187.0,126447.56,Distrito Federal,19.390301,-99.11161
house,250.0,135430.6,Distrito Federal,19.373264,-99.104161
apartment,80.0,41358.15,Distrito Federal,19.416439,-99.125632
house,150.0,114593.1,Distrito Federal,19.271242,-99.160156
